instruction,response,category
How do I update my email address?,"To update your email address: 1) Log into your account, 2) Go to 'Account Settings', 3) Click 'Personal Information', 4) Update your email address, 5) Verify the new email. You'll receive a confirmation link to your new email address. Click it to complete the change. Your old email will remain active until verification is complete.",Account Management
My coupon code isn't working,"I'm sorry your coupon isn't applying. Let's check a few things: 1) Is the code expired? Check the validity dates. 2) Does your order meet the minimum purchase requirement? 3) Are all items in your cart eligible for the discount? Some exclusions may apply. 4) Has the code been used before? Most codes are single-use. If everything looks correct, please share the code and I'll investigate.",Product Information
I need to speak to a supervisor,"I understand you'd like to escalate this matter. I want to ensure your concern is resolved. Please share the details of your issue, and I'll either resolve it myself or connect you with a supervisor right away. Our goal is to address your concerns as quickly and effectively as possible.",General Inquiry
How do I create an account?,"Creating an account is easy! 1) Click 'Sign Up' on our homepage, 2) Enter your email address, 3) Create a strong password, 4) Fill in your name and contact details, 5) Accept our terms and conditions, 6) Click 'Create Account'. You'll receive a verification email - click the link to activate your account.",Account Management
What payment methods do you accept?,"We accept various payment methods for your convenience: Credit cards (Visa, MasterCard, American Express, Discover), Debit cards, PayPal, Apple Pay, Google Pay, and Gift Cards. All transactions are secured with industry-standard encryption. You can save your preferred payment method in your account for faster checkout.",Billing
My item is out of stock. When will it be available?,"I apologize that the item is currently out of stock. You can: 1) Click 'Notify Me' on the product page to receive an email when it's back, 2) Check our 'Coming Soon' section for expected restock dates, 3) Browse similar products that are available. Typically, popular items are restocked within 2-4 weeks.",Product Information
How do I leave a product review?,"We'd love to hear your feedback! To leave a review: 1) Go to the product page, 2) Scroll to 'Customer Reviews', 3) Click 'Write a Review', 4) Rate the product (1-5 stars), 5) Write your review, 6) Add photos if you'd like, 7) Submit. Your review helps other customers make informed decisions!",Product Information
Can I pick up my order in store?,"Yes! We offer in-store pickup at select locations. During checkout: 1) Select 'Pick Up In Store', 2) Choose your preferred store location, 3) Complete your order. You'll receive an email when your order is ready (usually within 2 hours). Bring your order confirmation and ID to pick up. Items are held for 7 days.",Shipping & Delivery
My account was hacked. What should I do?,"I'm sorry to hear this - let's secure your account immediately. Please: 1) Reset your password right away, 2) Enable two-factor authentication, 3) Review your recent orders for any unauthorized purchases, 4) Check your saved payment methods. We'll also flag your account for additional security monitoring. Report any fraudulent charges so we can investigate.",Technical Support
What is the warranty on this product?,"Our products typically come with a 1-year manufacturer's warranty covering defects in materials and workmanship. Some products have extended warranty options available at checkout. For warranty claims: 1) Check your order for warranty coverage, 2) Contact us with your issue description, 3) We'll provide repair or replacement instructions.",Product Information
How do I unsubscribe from marketing emails?,"You can manage your email preferences by: 1) Clicking 'Unsubscribe' at the bottom of any marketing email, or 2) Logging into your account, going to 'Communication Preferences', and adjusting your settings. Note that you'll still receive important transactional emails about your orders. Changes take effect within 24-48 hours.",Account Management
How do I enable two-factor authentication?,"To enable two-factor authentication (2FA): 1) Go to Account Settings, 2) Select 'Security', 3) Click 'Enable Two-Factor Authentication', 4) Choose your preferred method (SMS or authenticator app), 5) Follow the verification steps. 2FA adds an extra layer of security to protect your account.",Account Management
I can't log into my account,"I'm sorry you're having trouble logging in. Let's resolve this: 1) Make sure Caps Lock is off, 2) Try resetting your password using 'Forgot Password', 3) Clear your browser cache and cookies, 4) Try a different browser or device, 5) Check if your account email is correct. If none of these work, contact us and we'll verify your account manually.",Account Management
My subscription renews but I didn't authorize it,"I understand your concern about the subscription renewal. Our subscriptions auto-renew by default to ensure uninterrupted service. You should have received a renewal reminder email 7 days prior. To avoid future auto-renewals, go to Account Settings > Subscription > Turn off Auto-Renewal. For a refund of this charge, please contact us within 3 days of renewal.",Billing
How do I upgrade my subscription plan?,"To upgrade your subscription: 1) Log into your account, 2) Go to 'Account Settings', 3) Select 'Subscription', 4) Click 'Upgrade Plan', 5) Choose your new plan, 6) Confirm payment. The upgrade takes effect immediately and you'll be charged the prorated difference for the remaining billing period.",Billing
I have a billing discrepancy on my statement,"I'm sorry to hear about the billing discrepancy. Please provide: 1) The charge amount and date, 2) Your order number (if applicable), 3) Last 4 digits of the card charged. I'll investigate immediately and ensure any incorrect charges are refunded within 3-5 business days.",Billing
Can I get a price match if the item is now cheaper?,"Yes, we offer price matching within 14 days of your purchase if the price drops on our website. To request a price match: 1) Contact us with your order number, 2) Provide the current lower price, 3) We'll issue a store credit or refund for the difference. Note: We match prices only from our own store, not competitors.",Billing
My package was marked delivered but I didn't receive it,"I'm sorry to hear your package wasn't received despite being marked delivered. Please: 1) Check with neighbors or building reception, 2) Look for any delivery notes left at your door, 3) Wait 24 hours as GPS tracking can sometimes update prematurely. If still not found, contact us with your order number and we'll file a claim with the carrier and arrange a replacement.",Shipping & Delivery
How do I change my delivery date?,"To change your delivery date: 1) Log into your account, 2) Go to 'Order History', 3) Select your order, 4) Click 'Reschedule Delivery'. Note that delivery date changes are only available for express/scheduled deliveries and must be made at least 2 hours before the current delivery window. Standard orders cannot be rescheduled once shipped.",Shipping & Delivery
Can I ship to multiple addresses in one order?,"Currently, each order can only be shipped to one address. However, you can place separate orders for different shipping addresses. If you're ordering gifts for multiple recipients, consider placing individual orders. We're working on adding multi-address shipping to make this easier for our customers.",Shipping & Delivery
My tracking number isn't working,"Tracking numbers typically become active 24-48 hours after your order ships. If your tracking number still isn't working after 48 hours: 1) Double-check you're entering it on the correct carrier's website (check your shipping confirmation email), 2) Ensure there are no extra spaces. If the issue persists, contact us with your order number and we'll look into this with the carrier.",Shipping & Delivery
How do I return a gift?,"You can return a gift without the original purchaser knowing. To start a gift return: 1) Go to our Returns portal, 2) Enter your order number (from the packing slip) or the email used for the order, 3) Select 'Return a Gift', 4) Choose your refund preference (store credit is issued to you, not the gift giver). The original purchaser won't be notified.",Returns & Refunds
What items cannot be returned?,"Some items are non-returnable for hygiene and safety reasons: Underwear and swimwear (unless defective), Personalized/custom items, Digital downloads, Gift cards, Items marked as 'Final Sale'. Perishable goods and hazardous materials are also excluded. If you received a defective non-returnable item, please contact us - we'll make an exception.",Returns & Refunds
How long does it take to process my refund?,"Once we receive your returned item, refunds are processed within 3-5 business days. After processing: Credit/debit cards take an additional 3-5 business days to appear on your statement, PayPal refunds appear within 24 hours, Store credit is applied immediately. You'll receive an email confirmation when your refund is processed.",Returns & Refunds
Can I exchange an item instead of returning it?,"Yes! We offer direct exchanges for different sizes or colors of the same item. To request an exchange: 1) Start a return request as normal, 2) Select 'Exchange' instead of 'Refund', 3) Choose the new size/color you'd like. If the exchanged item has a different price, we'll charge or refund the difference. Exchanges ship within 2-3 business days of receiving your return.",Returns & Refunds
The product doesn't match the description on the website,"I sincerely apologize that the product doesn't match the website description. This is unacceptable and we want to make it right. Please send us photos of the product you received along with your order number. We'll arrange an immediate return at no cost and provide either a full refund or replacement. We'll also review the product listing to correct any inaccuracies.",Returns & Refunds
How do I compare products?,"To compare products on our website: 1) Browse to the products you're interested in, 2) Click the 'Add to Compare' checkbox on each product (up to 4 items), 3) Click 'Compare' at the bottom of the page. You'll see a side-by-side comparison of features, specifications, pricing, and customer ratings to help you make an informed decision.",Product Information
Do you offer bulk/wholesale pricing?,"Yes, we offer competitive wholesale pricing for orders of 10+ units. To inquire about bulk pricing: 1) Contact our wholesale team at wholesale@company.com, 2) Provide the product(s) and quantities needed, 3) We'll send you a custom quote within 2 business days. Wholesale orders typically qualify for 15-30% discounts depending on volume.",Product Information
How do I find the right size?,"We have a detailed size guide to help you find the perfect fit: 1) Click 'Size Guide' on the product page, 2) Take your measurements as instructed, 3) Match your measurements to our size chart. We recommend sizing up if you're between sizes. If you're still unsure, our customer service team is happy to help with specific product recommendations.",Product Information
Is this product compatible with my device?,"Great question! To verify product compatibility: 1) Check the 'Compatibility' section on the product page, 2) Use our compatibility checker tool by entering your device model, 3) Read customer reviews filtering by your device type. If you still have doubts, share your device model with us and we'll confirm compatibility before you purchase.",Product Information
How do I check product availability at my local store?,"To check local store availability: 1) Go to the product page, 2) Click 'Check Store Availability', 3) Enter your zip code or city, 4) You'll see which nearby stores have the item in stock. You can also filter by distance. Store inventory updates hourly, so availability is generally accurate. Call the store directly to confirm for time-sensitive purchases.",Product Information
Can I place an order by phone?,"Yes, our phone ordering service is available Monday to Friday, 9 AM - 6 PM EST at our customer service number. Our agents can help you browse products, check availability, place orders, and process payments securely over the phone. Please have your payment information ready. A confirmation email will be sent once your order is placed.",General Inquiry
Do you have a loyalty/rewards program?,"Yes! Our rewards program gives you points for every purchase. Here's how it works: Earn 1 point per $1 spent, 500 points = $5 reward, Bonus points on birthdays and special events, Exclusive member discounts and early access to sales. To join: 1) Log into your account, 2) Go to 'Rewards', 3) Click 'Enroll Now'. It's free to join!",General Inquiry
How do I find my order confirmation number?,"Your order confirmation number can be found in: 1) The confirmation email sent to your registered email address (check spam if not found), 2) Your account under 'Order History', 3) Any shipping notification emails. If you checked out as a guest, search your email for messages from us around the purchase date. Contact us if you still can't locate it.",General Inquiry
Can I use multiple discount codes on one order?,"Currently, only one discount code can be applied per order. If you have multiple codes, we recommend using the one with the highest value. However, discount codes can sometimes be combined with automatic promotions (like free shipping thresholds). If you're unsure which code offers the best savings, our customer service team can help you compare.",General Inquiry
What is your privacy policy regarding my personal data?,"We take your privacy seriously. Key points of our privacy policy: We only collect data necessary for order processing and account management. We never sell your personal data to third parties. You can request a copy or deletion of your data at any time via Account Settings > Privacy. We use industry-standard encryption for all data storage and transmission. Full policy available at our website.",General Inquiry
The app is running very slowly on my phone,"I'm sorry the app is running slowly. Here are some steps to improve performance: 1) Close background apps to free up memory, 2) Ensure you're on a stable Wi-Fi or 4G connection, 3) Clear the app cache (Settings > Apps > Our App > Clear Cache), 4) Update to the latest app version, 5) Restart your phone. If slowness continues, please share your phone model and OS version so we can investigate further.",Technical Support
I'm getting an error message when trying to checkout,"I'm sorry you're encountering a checkout error. Please try these steps: 1) Refresh the page and try again, 2) Clear your browser cache and cookies, 3) Try a different payment method, 4) Disable browser extensions that might block scripts, 5) Try a different browser or device. Please share the exact error message you're seeing and I'll escalate to our technical team if needed.",Technical Support
My two-factor authentication code isn't working,"I'm sorry you're having trouble with your 2FA code. Let's troubleshoot: 1) Ensure your device clock is synced correctly (TOTP codes are time-sensitive), 2) Use the most recent code generated, 3) If using SMS, check if you have signal, 4) Try requesting a new code. If you're locked out, use your backup codes. If you don't have backup codes, contact us to verify your identity and restore access.",Technical Support
How do I connect my account to a third-party app?,"To connect a third-party app to your account: 1) Go to Account Settings, 2) Select 'Integrations' or 'Connected Apps', 3) Browse available integrations and select the app, 4) Click 'Connect' and follow the authorization prompts. You can review and revoke app permissions at any time from the same section. If your desired app isn't listed, contact us to request an integration.",Technical Support
The product images are not loading on the website,"If product images aren't loading, please try: 1) Hard refresh the page (Ctrl+Shift+R or Cmd+Shift+R), 2) Clear browser cache, 3) Check your internet connection speed, 4) Disable any ad blockers that might block image CDN domains, 5) Try a different browser. If images still don't load, it may be a temporary server issue - please try again in 30 minutes and contact us if the problem continues.",Technical Support
I accidentally deleted my account. Can I recover it?,"I'm sorry to hear that. Account deletions can sometimes be recovered within 30 days if requested promptly. Please contact us immediately with: 1) The email address associated with the deleted account, 2) Your full name, 3) A recent order number to verify ownership. Our team will attempt to restore your account and all associated data. After 30 days, restoration may not be possible.",Account Management
How do I transfer my account to a new email address?,"To transfer your account to a new email: 1) Log into your current account, 2) Go to Account Settings > Personal Information, 3) Update your email address, 4) You'll receive a verification link at the new email - click it to confirm the transfer. All your order history, saved items, and preferences will move to the new email automatically.",Account Management
Can I have multiple accounts under the same email?,"Each email address can only be associated with one account. If you need separate accounts (e.g., personal and business), you'll need to use different email addresses for each. If you've accidentally created duplicate accounts, contact us and we can help merge them, transferring your order history and preferences to your preferred account.",Account Management
How do I add a family member to my account?,"You can add family members to your account under our Family Sharing feature: 1) Go to Account Settings, 2) Select 'Family & Sharing', 3) Click 'Add Family Member', 4) Enter their email address, 5) They'll receive an invitation to join. Family members can access shared benefits like subscriptions and loyalty points, but each member has their own login credentials.",Account Management
I received a suspicious email claiming to be from you,"Thank you for bringing this to our attention - this sounds like a phishing attempt. We will NEVER ask for your password, full credit card numbers, or SSN via email. Please: 1) Do NOT click any links in the suspicious email, 2) Do NOT provide any personal information, 3) Forward the email to security@company.com, 4) Delete the email. Check that any real emails from us come from @company.com domain only.",Technical Support
How do I report a bug or technical issue?,"Thank you for helping us improve! To report a bug: 1) Go to our Help Center and click 'Report a Bug', 2) Describe what you were doing when the issue occurred, 3) Include screenshots if possible, 4) Mention your device, browser/app version, and operating system. Our technical team reviews all bug reports and you'll receive an update when the issue is resolved.",Technical Support
My order shows 'On Hold'. What does that mean?,"An order status of 'On Hold' typically means there's a temporary issue we need to resolve before your order can proceed. Common reasons include: Payment verification pending, Address confirmation needed, Item availability change. Please check your email for a message from us explaining the specific reason and any action required from you. If you haven't received an email, contact us with your order number.",Shipping & Delivery
Can I upgrade my shipping after placing an order?,"Shipping upgrades are possible if your order hasn't entered the shipping process yet. Please contact us immediately with your order number and the desired shipping upgrade. We'll check if it's still possible to make the change. Note that you'll be charged the difference between shipping costs. Once a label has been generated, shipping upgrades are no longer possible.",Shipping & Delivery
Do you ship internationally?,"Yes, we ship to over 50 countries worldwide! International shipping rates and delivery times vary by destination: Economy International (10-15 business days), Standard International (7-10 business days), Express International (3-5 business days). Please note that international orders may be subject to customs duties and taxes, which are the customer's responsibility. Check our shipping page for your specific country.",Shipping & Delivery
My delivery was attempted but I wasn't home,"If a delivery attempt was made when you weren't home, the carrier typically leaves a delivery notice. You can: 1) Reschedule delivery online using the tracking number, 2) Pick up from the carrier's local facility (usually held for 5-7 days), 3) Authorize delivery without signature for future attempts. The delivery notice or your tracking information will include the carrier's contact details and options.",Shipping & Delivery
How do I cancel my order?,"To cancel your order: 1) Go to 'Order History' in your account, 2) Find your order, 3) Click 'Cancel Order'. Orders can only be cancelled within 1 hour of placement before they enter processing. If the cancellation window has passed, you can refuse delivery or return the item once received. Refunds for cancelled orders are processed within 3-5 business days.",Shipping & Delivery
Is it safe to save my credit card on your website?,"Absolutely. We use industry-leading security measures to protect your payment information: 1) We are PCI DSS Level 1 compliant, 2) Card numbers are tokenized - we never store actual card numbers, 3) All transactions use TLS 1.3 encryption, 4) We use 3D Secure authentication for added protection. You can manage saved payment methods in Account Settings > Payment Methods at any time.",Billing
How do I get a VAT/GST invoice?,"To receive a VAT/GST invoice: 1) Log into your account, 2) Go to 'Order History', 3) Select the relevant order, 4) Click 'Download Tax Invoice'. If you need a B2B invoice with your company's GST/VAT number: go to Account Settings > Business Details, add your company information, then all future invoices will include it. Contact us if you need to update a past invoice.",Billing
My refund amount seems incorrect,"I apologize for the confusion about your refund amount. Common reasons for partial refunds include: Return shipping costs deducted (for non-defective items), Restocking fees for certain items, Promotional discounts that were order-specific. Please share your order number and the refund confirmation email. I'll review the refund calculation and ensure it's corrected if there's an error.",Returns & Refunds
Can I return a digital product?,"Digital products and downloads are generally non-refundable once accessed, as they cannot be 'returned'. However, if you haven't accessed the digital content yet, or if the product is defective/not as described, please contact us within 7 days of purchase. We review these on a case-by-case basis. If the product didn't work or wasn't as described, we'll work to make it right.",Returns & Refunds
How do I check the status of my return?,"To check your return status: 1) Log into your account, 2) Go to 'Order History', 3) Select the relevant order, 4) Click 'View Return Status'. You'll see the current stage of your return (Return Received, Being Processed, Refund Issued). You'll also receive email updates at each stage. If you sent the return more than 7 business days ago and haven't seen an update, contact us with your return tracking number.",Returns & Refunds
The item I want to return is out of its original packaging. Can I still return it?,"We understand that packaging gets opened! You can still return most items without original packaging within our 30-day return window, as long as the item itself is in original condition - unused, undamaged, and complete with all accessories. However, items that require original packaging for safety or hygiene reasons may need it for returns. Please contact us and we'll confirm based on your specific product.",Returns & Refunds
How do I request a price adjustment for a sale?,"We offer price adjustments within 14 days of your purchase if the same item goes on sale at our store. To request a price adjustment: 1) Contact us with your order number, 2) Reference the current sale price and the dates of the sale. We'll issue the difference as a store credit or refund to your original payment method. Note: This applies only to sales on our own website, not competitor pricing.",Billing
Why am I being charged sales tax?,"Sales tax is charged based on the laws of your shipping destination. We're required by law to collect sales tax in states/regions where we have nexus (a tax presence). The tax amount is calculated at checkout based on: Your shipping address, The type of product purchased, and Applicable tax rates. Tax-exempt customers can submit their exemption certificate to our billing team to have tax removed from future orders.",Billing
My gift card balance isn't showing correctly,"I'm sorry your gift card balance appears incorrect. Let's investigate: 1) Log into your account, 2) Go to 'Gift Cards' to see your current balance, 3) Check your recent transaction history to see how the balance was used. If the balance still seems wrong, please share the gift card number (last 4 digits for security) and I'll look into any discrepancies and restore the correct balance.",Billing
How do I get a replacement for a defective product?,"I'm sorry your product is defective! To get a replacement: 1) Contact us within 30 days of purchase (or within warranty period for manufacturing defects), 2) Describe the defect and send photos if possible, 3) Include your order number. We'll arrange a free replacement and provide a prepaid return label for the defective item. Replacements typically ship within 2-3 business days of us receiving your return.",Returns & Refunds
Do you offer gift wrapping?,"Yes, we offer gift wrapping services! To add gift wrapping to your order: 1) Add items to your cart, 2) Proceed to checkout, 3) Select 'Gift Options' before completing payment, 4) Choose your wrapping style, 5) Add a personalized message (up to 150 characters). Gift wrapping costs $4.99 per item. The recipient's packing slip will not include prices.",General Inquiry
Can I send a product directly to someone as a gift?,"Absolutely! To send a gift directly: 1) Add items to your cart, 2) At checkout, enter the recipient's address as the shipping address, 3) Select 'This is a gift' option, 4) Add a gift message if desired. The package will be shipped without a price tag, and the receipt will be sent to your email, not included in the package.",General Inquiry
How do I check if my email address is already registered?,"To check if your email is registered: 1) Go to the login page, 2) Enter your email in the login field, 3) Click 'Continue'. If the email is registered, you'll be prompted for your password. If not, you'll be directed to create a new account. You can also try the 'Forgot Password' option to see if a reset email is sent to that address.",Account Management
I'm having trouble with the search function on your website,"I'm sorry the search isn't working well for you. Try these tips: 1) Use more specific keywords, 2) Try alternate spellings or product names, 3) Use category filters to narrow results, 4) Check for typos in your search terms. If search results seem completely broken, try clearing your browser cache or using a different browser. Please describe what you searched for and I can help you find the product directly.",Technical Support
The checkout page is freezing,"I apologize for the checkout freeze. This is often a browser issue. Please try: 1) Clear all browser cookies and cache, 2) Try incognito/private browsing mode, 3) Disable browser extensions, 4) Use a different browser (Chrome, Firefox, Safari), 5) Ensure JavaScript is enabled. If the issue persists, try our mobile app. Please contact us with the exact point where the page freezes and your browser info.",Technical Support
I cannot add items to my cart,"If you're having trouble adding items to your cart, try these solutions: 1) Refresh the product page, 2) Check if the item requires a size/color selection you haven't made, 3) Clear browser cookies and cache, 4) Try a different browser, 5) Check if you're logged in, 6) Disable ad blockers. If a specific item consistently won't add, it may have a stock issue. Contact us with the item name and I'll check its availability.",Technical Support
My password reset email isn't arriving,"If you haven't received a password reset email: 1) Check your spam/junk folder, 2) Wait 10 minutes - emails can be delayed, 3) Ensure you're checking the correct email inbox (the one registered to your account), 4) Try adding our domain to your safe senders list. If still not received after 30 minutes, contact us. We can manually verify your identity and help reset your password through an alternative method.",Account Management
How do I delete my account?,"To delete your account: 1) Log in and go to Account Settings, 2) Scroll to 'Account Management', 3) Click 'Delete Account', 4) Confirm your password and follow the prompts. Please note: Account deletion is permanent and all your order history, saved items, and rewards points will be lost. Any pending orders or active subscriptions must be resolved before deletion. Consider downloading your data before deleting.",Account Management
How do I view my order history?,"To view your complete order history: 1) Log into your account, 2) Click on 'My Account' or your profile icon, 3) Select 'Order History'. You'll see all past orders with dates, items purchased, order status, and amounts. You can click on any order for detailed information including tracking, invoice, and return options. Orders placed as a guest won't appear here.",Shipping & Delivery
Can I reorder a previous purchase?,"Yes! Reordering is quick and easy: 1) Go to 'Order History' in your account, 2) Find the order you want to repeat, 3) Click 'Reorder', 4) Review the items in your cart (check availability and current pricing), 5) Proceed to checkout. Note that prices and availability may have changed since your original order. You'll get the current price at checkout.",General Inquiry
How do I know if a sale or promotion is legitimate?,"All our sales and promotions are listed on our official website and sent from our verified email domains (@company.com). Warning signs of fake promotions: Emails from unofficial domains, Requests for your password, Too-good-to-be-true discounts. To verify a promotion: Check our website directly, don't click links in suspicious emails. Contact us if you're unsure about a specific offer.",General Inquiry
What is your customer satisfaction guarantee?,"We stand behind every product we sell. Our satisfaction guarantee means: 30-day hassle-free returns for any reason, Full refund or replacement for defective items within warranty period, Price match guarantee within 14 days of purchase. If you're not completely satisfied, contact us and we'll make it right. Our goal is to ensure every customer has an excellent experience.",General Inquiry
How do I use your website's accessibility features?,"Our website includes accessibility features: Screen reader compatibility, Keyboard navigation support, High contrast mode (in display settings), Text size adjustment, Alt text for all images. To enable accessibility mode: Go to website footer > Accessibility Settings. If you need additional assistance, our support team can process orders by phone. We're committed to making our platform accessible to all users.",General Inquiry
My order total looks wrong at checkout,"If your order total seems incorrect at checkout, check: 1) All promotional codes have been applied correctly, 2) The correct quantities are in your cart, 3) Shipping costs - try entering your address if not done yet, 4) Applicable taxes based on your location. If prices don't match what's shown on the product pages, please screenshot the discrepancy and contact us immediately. Pricing errors on our end are always honoured.",Billing
I want to change the quantity of an item in my order,"You can modify item quantities within 1 hour of placing your order. Go to Order History, select your order, and click 'Modify'. After this window, the order is locked for processing. If you need more of the same item, simply place a new order. To reduce quantities after the modification window, you may need to return the unwanted items after delivery.",Shipping & Delivery
Is there a student discount available?,"Yes! We offer a 15% student discount through our student verification program. To access the discount: 1) Go to our Student Discount page, 2) Verify your student status through our partner SheerID, 3) Once verified, your discount will be automatically applied at checkout. Verification requires a valid .edu email or student ID. The discount is valid for as long as you maintain your student status.",General Inquiry
How do I know when a sold-out item will be restocked?,"To get notified when a sold-out item is restocked: 1) Go to the product page, 2) Click 'Notify Me When Available', 3) Enter your email address if prompted, 4) Click 'Set Alert'. You'll receive an email notification as soon as the item is back in stock. Typically, popular items are restocked within 2-4 weeks, but we can't always guarantee restock timelines for all items.",Product Information
Can I get a sample before purchasing?,"We offer samples for select product categories: Cosmetics and beauty products (sample kits available), Paint and flooring (physical samples shipped free), Some food and beverage items. To request a sample: 1) Look for the 'Request Sample' button on eligible product pages, 2) Or contact our team mentioning which product you'd like to sample. Sampling availability varies by product and region.",Product Information
How do I report a counterfeit product?,"If you suspect you've received a counterfeit product, we take this very seriously. Please: 1) Do not use the product, 2) Contact us immediately with your order number and photos of the product, 3) Note any differences from the authentic product (packaging, labels, quality). We'll investigate with our supplier chain, replace your order immediately, and report to the brand manufacturer. Thank you for helping us maintain quality.",Returns & Refunds
What happens to my data if I delete my account?,"When you delete your account: Active order data is retained for legal compliance for up to 7 years, Personal data not linked to transactions is deleted within 30 days, Marketing preferences are removed immediately, Loyalty points and rewards are permanently forfeited, Saved payment methods are deleted immediately. You can request a full data export before deletion. Our full data retention policy is available in our Privacy Policy.",Account Management
I received a package that wasn't addressed to me,"If you received a package not addressed to you: 1) Do not open it, 2) Mark it 'Return to Sender', 3) Give it back to your mail carrier or drop at a post office. If it was opened before you realized, contact us and we'll help coordinate with the carrier to retrieve it. Please don't feel obligated to deliver it yourself - that's the postal service's responsibility.",Shipping & Delivery
